da@gmail.com|asda@gmail.com
"Filippa Cocci-Paolini"|"Dott. Licia Ferrucci"
"Dr. Douglas Ramsey"|"Danny Evans"
"Greco Borromeo"|"Biagio Leone-Borghese"
"Silvio Brichese"|"John Watson"
"Raffaello Trentini"|"Elmo Gozzano"
"James Tate"|"Jamie Weaver"
"Agnolo Tasca-Matteotti"|"Luisa Galeati"
"Sandra Condoleo"|"Gioachino Ceri"
"Victoria Baxter"|"Sig. Gaspare Verri"
"Maurilio Viola"|"Taylor Guerra"
"Calcedonio Serlupi"|"Rebecca Thompson"
"Teresa Ponti"|"Marcello Barracco"
"Mallory Knight"|"Panfilo Pontecorvo"
"Ryan Silva"|"Giuliano Barracco"
"Piermaria Lombroso"|"Torquato Argentero"
"Mrs. Regina Ramirez DDS"|"Lindsey Hall"
"Marco Bongiorno"|"Logan Jimenez"
"Kenneth Roth"|"Cipriano Coardi"
"Saverio Trapanese-Odescalchi"|"Nancy Briggs"
"Sandro Fantozzi-Guarneri"|"Felicia Roberts"
"Ranieri Papetti"|"Michael Perez"
"Pina Prati"|"Salvatore Caboto"
"Robert Jackson"|"Deanna Owens"
"Richard Johnson"|"Luigi Bompiani"
"Jeffrey Flynn"|"Coluccio Rocca"
"Sig. Giacomo Falloppio"|"Holly Gallagher DVM"
"Mr. Perry Zimmerman"|"Angelo Mancini"
"Steven Pope"|"Loretta Boccioni-Durante"
"April Smith"|"Ian Campbell"
"Brandon Powell"|"Sig.ra Vittoria Biagi"
"Mario Giannotti"|"Simonetta Rastelli-Avogadro"
"Annunziata Zacco"|"Sarah Hudson"
"Herbert Li"|"Severino Palladio"
"Marcello Verdone"|"Michael Walsh"
"Sarah Rhodes"|"Giuliano Onio"
"Sig.ra Fiamma Turchetta"|"Jose Gibbs"
"Kerri Foster"|"Baldassare Lercari"
"Alexandra Moreno"|"Venancio Siffredi"
"Cameron Roach"|"Leone Santi-Sollima"
"Dott. Dina Parpinel"|"James Martinez"
"Sig.ra Rosa Manzoni"|"Melissa Martin"
"Kevin Miller"|"Sig. Raffaele Rossellini"
"Giancarlo Vattimo-Monti"|"Ricky Mejia"
"Keith Simmons"|"Mrs. Jessica Snyder"
"Venancio Marini"|"Giuliana Zaccardo"
"Laura Giovine"|"Isaiah King"
"Gabriella Craig"|"Antonia Giannotti"
"Monique Klein"|"Johnathan Anderson"
"Susan Branch"|"Dott. Pasquale Guinizzelli"
"Deborah Lane"|"Sig. Venancio Prada"
"David Wood"|"Sig. Nicola Gucci"
"Cirillo Cimini"|"Gary Williams"
"Licia Antelami-Perini"|"Curtis Horn"
"Timothy Gray"|"Michael Peters"
"James Jones"|"Robert Mccarthy"
"Jacob Ramirez"|"Lisa Wallace"
"Vanessa Mora"|"Mirco Giannone-Trentin"
"Vincenza Agazzi-Battaglia"|"Eugenia Cerutti"
"Gianpaolo Tasca"|"Angela Flores"
"Stefania Capuana"|"Sandra Pierce"
"Beatrice Cammarata"|"Dr. Donald Allen"
"Priscilla Eco-Trobbiani"|"Mrs. Tiffany Rodriguez"
"John Rodriguez"|"Francisco Wilson"
"James Hodges"|"Jacopo Farinelli"
"Loretta Notarbartolo"|"Emilio Tarantino-Matteotti"
"Romana Rizzo"|"Nicole Bailey"
"Giustino Renzi"|"Dott. Rocco Bonatti"
"Gianluigi Carocci-Contarini"|"Sig. Gian Argento"
"Sig.ra Giulietta Mantegna"|"Dina Iannuzzi"
"Dominic Richardson"|"Rodolfo Ferrante"
"Anne Harper"|"Sig.ra Filippa Maffei"
"Rocco Filangieri"|"Brian Smith"
"Daniel Schneider"|"Belinda Richardson"
"Massimiliano Maspero"|"Ricardo Torres"
"Laura Bova-Tropea"|"Nicola Tanzini"
"Sig.ra Aria Adinolfi"|"Madeline Nelson"
"Emma Leonardi-Ossola"|"Eliana Ciani"
"Yesenia Edwards"|"Annunziata Casini-Giammusso"
"Russell Martinez"|"Gianmarco Altera"
"John Simon"|"Pierpaolo Coardi"
"Marina Pirandello"|"Rodney Martinez"
"Tina Lowe"|"Amadeo Ricci"
"Salvatore Notarbartolo"|"Sig. Eraldo Bulzoni"
"Erin Tran"|"Paul Vargas"
"Margaret Jones"|"Matthew Barrett"
"Fiamma Innocenti"|"Sig. Fedele Marinetti"
"Sarah Allen"|"Dante Sandi"
"Melissa Flores"|"Dott. Mariana Frescobaldi"
"Michael Perez"|"Stephanie Hansen"
"Danilo Luxardo"|"David Garcia"
"Mr. Anthony Espinoza DDS"|"Angelica Taliercio"
"Osvaldo Tamborini"|"Jo Palmer"
"Francesco Rocca"|"Serena Roero"
"Martina Marinetti"|"Julia Walls"
"Barbara Santi-Scotti"|"Zachary Villanueva"
"Trevor Mcgee"|"Dr. Kenneth Hughes"
"Tammy Jordan"|"Anthony Riggs"
"Valentina Mazzocchi"|"Stefano Palumbo"
"Brandon Wise"|"Monica Alvarez"
"Fulvio Caironi"|"Sebastiano Tebaldi-Cusano"
"Giacomo Amaldi"|"Laura Murialdo"
"Pomponio Asmundo"|"Cassandra Miranda"
"Ashley Wells"|"Paloma Pizzo"
"Travis Castro"|"Ivo Gadda"
"John Reyes"|"Jose Hebert"
"Lisa Morales"|"Ryan Wiley"
"Kaitlyn Miller"|"Melissa Edwards"
"Romina Respighi"|"Pierpaolo Federico-Malatesta"
"Jesus Reid"|"Allison Johnson"
"Patrizio Viola"|"Karen Allen"
"Julia Drake"|"Logan Nguyen"
"Mr. Jason Young"|"Loretta Parisi-Caracciolo"
"Damiano Anguissola-Cherubini"|"Traci Garcia"
"Bettina Pisani"|"Benjamin Vang"
"Cesare Fallaci"|"Joshua Chandler"
"Brian Buchanan"|"Carla Speri-Serlupi"
"Luchino Morrocco"|"Guido Tamburello"
"Luis Conley"|"Dott. Annamaria Mocenigo"
"Brandy Marshall"|"Nathan Fowler"
"Berenice Tartaglia"|"Margaret Le"
"Calvin Patel"|"Sig.ra Alessia Galilei"
"Carolyn Russell"|"Sheila Lee"
"Aurora Interminei-Molesini"|"Mary Finley"
"Elvira Squarcione-Bruno"|"Alina Gargallo-Toso"
"Joel Carter"|"Teresa Butler"
"Brooke Meyer"|"Riccardo Aldobrandi"
"Holly Rodriguez"|"Raffaella Angeli"
"Michael Osborn"|"Michael Baker"
"Dott. Oreste Armani"|"Armando Pratesi-Cilea"
"Crystal Abbott"|"Valeria Trombetta"
"Ernesto Pastine"|"Patrizia Schicchi"
"Allison Joyce"|"Sandra Porter"
"Milena Muratori"|"Loretta Antelami"
"Dott. Matteo Conti"|"Miss Sarah Lee"
"Rebecca Reese"|"Salvi Guinizzelli-Antonello"
"Elena Casini"|"Daniele Tacchini-Collina"
"Thomas Cannon"|"Jaime Lee"
"Isaiah Parker"|"Vittorio Cimarosa"
"David Carlson"|"Livia Grasso"
"Veronica Camuccini"|"Christina Johnson"
"Dale Willis"|"Ivo Botticelli-Trapanese"
"Dott. Raffaele Turati"|"Eugenia Camilleri-Cipolla"
"David Sanchez"|"Laura Cocci-Fantozzi"
"Silvia Fogazzaro-Sauli"|"Kyle Gutierrez"
"Alexander White"|"Sylvia Gelli-Canevascini"
"Venancio Taccola"|"Steven Johnson"
"Keith Pitts"|"Todd Barker"
"Luchino Vergassola"|"Brianna Nichols"
"Elmo Babbo-Papafava"|"Amleto Antonello-Galiazzo"
"Pierpaolo Seddio-Cutrufo"|"Mary Kelly"
"Laura Walsh"|"Eileen Guzman"
"Stefani Gentileschi"|"Teresa Daniels"
"Marcella Treves"|"Kevin Li"
"Monica Cagnotto"|"Johnny Abbott"
"Sylvia Cerquiglini"|"Umberto Grossi"
"Ottone Grisoni"|"Virginia Pertile"
"Daniel Rivera"|"Denise Gates"
"Riccardo Giannuzzi"|"Jeffrey Zamora"
"Giacinto Bonomo"|"Ottavio Spanevello"
"Lodovico Montecchi"|"Erik Acosta"
"Erin Hutchinson"|"Katherine Turner"
"Paolo Dulbecco-Manacorda"|"Martino Tamburi"
"Shannon Fisher"|"Dolores Trussardi-Zanzi"
"Dott. Telemaco Riccardi"|"Lisa Hall"
"Gianluigi Vismara"|"Aria Tognazzi"
"Scott Martin"|"Maria Lippomano-Columbo"
"Elizabeth Torres"|"Umberto Tonisto"
"Sig. Gioacchino Lombardo"|"Lazzaro Zamengo"
"Eraldo Rizzoli"|"Matthew Sims"
"Kevin Strong"|"Brandi Carr"
"Michael Hawkins"|"Antonia Forza"
"Roman Accardo"|"Stella Pareto"
"Jacqueline Petersen"|"Gerald Johnson"
"Catherine Johnson PhD"|"Charles Henry"
"Patrick Dawson"|"Rebecca Gamble"
"Toni Montessori"|"Fausto Iacobucci"
"Sig.ra Mariana Combi"|"Peggy Mendez"
"Gianluca Gulotta-Mascheroni"|"Giorgia Trobbiani-Ginese"
"Troy Griffin"|"Kenneth Gonzalez"
"Ricardo Oliver"|"Luisa Cafarchia-Vivaldi"
"Albert Nielsen"|"Joseph Howe"
"Bradley Walker"|"Joanna Cortez"
"Curtis Russo"|"Emma Maderna"
"Jessica Mcdaniel"|"Sandra Stanley"
"Lauretta Abbagnale"|"Sig. Orazio Prati"
"Sig. Pasqual Andreozzi"|"Brianna Barnes"
"Gianmarco Pasolini"|"Dott. Mattia Gullotta"
"Lolita Bartoli"|"Dott. Lara Gelli"
"Linda Chavez"|"Zachary Mitchell"
"Andre Hanson"|"Donatella Pizziol"
"Robin Arias"|"Tonino Garozzo"
"Filippa Giammusso"|"Sig.ra Gabriella Gibilisco"
"Concetta Farina"|"Eliana Martucci"
"Dott. Antonello Angeli"|"Amanda Sanchez"
"Loretta Trotta"|"Maria Zaccagnini"
"Jerry Lewis"|"Bartolomeo Moneta"
"Tanya Page"|"Deborah Saunders"
