full_name,age
"Tina Andrade",3
"Natalia Passalacqua",5
"Rossana Abatantuono-Lucciano",1
"Lauretta Parmitano",2
"Sig.ra Paola Palombi",10
"Haley Hill",1
"Renee Gray",5
"Joseph Jones",3
"Lauren Lopez",5
"Costanzo Pareto",2
"Ugo Bottigliero",3
"Brian Lee",0
"Serafina Bondumier",2
"Paula Taylor",3
"Micheletto Zola",9
"Sig. Uberto Pometta",8
"Angela Braun",2
"Mario Panicucci",9
"Roger Manning",6
"Jared Johnson",7
"Stephanie Harris",6
"Samuel Juarez",6
"Dott. Renzo Rizzoli",6
"Federica Papetti",6
"Cynthia Ward",5
"Dr. Kim Smith",2
"Greco Dandolo",9
"Melissa Rosario",10
"Sig.ra Lisa Callegari",8
"Sig. Gioachino Surian",10
"Jared Taylor",8
"Andre Buck",7
"Maura Ferraris",2
"Antonio Marks",6
"Alan Mathews",0
"Sharon Gomez",6
"Curtis Wilson",1
"Michelotto Castellitto-Pace",10
"Amanda Wilkinson",8
"Dott. Annamaria Gullotta",9
"Jennifer Best",3
"Virgilio Gualtieri-Tarchetti",10
"Maura Orlando",10
"Lolita Sonnino",8
"Jasmine Spencer",10
"Dott. Telemaco Prati",0
"Justin Kim",10
"Erica Walsh",0
"Tara Parker",2
"Nicolò Pellico",2
"Ashlee Mitchell",8
"Mary Howard",7
"Romana Chiaramonte",3
"Lolita Ficino-Conte",5
"Gioffre Ruggeri",2
"Piergiorgio Toscani",10
"Vincenzo Gianetti-Littizzetto",6
"Brian Perez",6
"Joshua Campbell",5
"Puccio Baggio",1
"Austin Hicks",6
"Melissa Kelly",7
"Beatrice Garrone",9
"Katherine Todd",1
"Licia Padovano",3
"Michael Davis",1
"Isa Pavone",9
"Elvira Finzi",8
"Mrs. Yesenia Curtis",9
"Sig.ra Sonia Stein",10
"Nina Pezzali-Zichichi",4
"Dott. Adriano Zeffirelli",1
"Paul Thornton",2
"Pierpaolo Galuppi",3
"Angela Trujillo",3
"Lydia Douglas",7
"Gianna Porcellato",6
"Christopher Casey",9
"Jason Ewing",2
"Diana Balla",6
"Marta Veneziano",6
"Dott. Jolanda Polizzi",5
"Michael Sullivan",3
"Veronica Clark",10
"Henry Daniel",4
"Gino Mocenigo",0
"Anthony Johnson",4
"Samuel Neal",7
"Brian Robinson",0
"Lacey Trevino",9
"Leslie Lopez",3
"David Davis",3
"Jessica Silva",10
"Sig. Gioacchino Antonelli",10
"Tammy Scott",6
"Betty Baird",4
"Dott. Silvestro Antonelli",0
"Viridiana Foscari",8
"Ernesto Capuana-Mascagni",7
"Nathaniel Harris",1
"Kathleen Fisher",9
"Elmo Grifeo-Cremonesi",10
"Peter Blake",1
"Loredana Morgagni-Balotelli",10
"Melissa Perez",7
"Ryan Kent",3
"Jamie Short",6
"Mariana Catenazzi-Trupiano",1
"Sarah Wilson",1
"Heather Serrano",2
"Sherri Jacobs",3
"Stephanie Herrera",3
"Loredana Columbo-Doria",3
"Tullio Marino-Castelli",10
"Viridiana Stradivari",10
"Stella Tacchini",9
"Gian Mazzanti",4
"Patrizio Veltroni",5
"Tammy Allen",10
"Jared Cox",6
"Bethany Lee",3
"Joseph Miller",3
"Amy Smith",10
"Michael Rose",10
"Pompeo Filogamo",4
"Kim Hughes",0
"David Bishop",5
"Valentina Bianchini-Pizzo",10
"Michael Garrett",8
"Lidia Dandolo-Cutrufo",5
"Armando Zabarella-Fieramosca",8
"Scott Diaz",8
"Eliana Righi",10
"Silvio Mondadori",2
"April Mccarthy",10
"Gianni Mortati",5
"Marcella Pininfarina",8
"Angelica Canevascini",3
"Jacqueline Garcia",3
"Diane Black",4
"Molly Russell",5
"Cody Gaines",7
"Francesco Doria-Carullo",5
"David Noble",8
"Orazio Pizzamano",0
"Marcella Pontecorvo",4
"Corrado Bompiani",0
"Francesca Trentin",8
"Danielle Alvarez",0
"Panfilo Tolentino",5
"Wanda Griffith",4
"George Johnson",8
"Sig. Mariano Agostini",0
"Ashley Myers",4
"Karen Harmon",3
"Romana Dossi",4
"Audrey Jones",4
"Brandon Davis",2
"Guido Munari-Vivaldi",8
